,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_0.464158883000,-0.116099603,0.071850347,0.544634703,0.476431908,0.50084051,0.880031556
pSA_0.497702356000,-0.135993788,0.071614235,0.54097128,0.481672016,0.504567462,0.882749217
pSA_0.500000000000,-0.137452168,0.071653224,0.541177952,0.482349755,0.504741159,0.883345062
pSA_0.533669923000,-0.15426309,0.071584031,0.538950065,0.489708091,0.502911202,0.884986364
pSA_0.572236766000,-0.176576556,0.071731356,0.537367976,0.50217183,0.504164743,0.891696684
pSA_0.613590727000,-0.199345115,0.070505271,0.523434639,0.51074635,0.504896221,0.888687712
pSA_0.657933225000,-0.209846434,0.069226093,0.509295757,0.518404119,0.501811479,0.883141981
pSA_0.705480231000,-0.220299735,0.069081732,0.507265852,0.522690887,0.494623637,0.880441339
pSA_0.750000000000,-0.234368332,0.069071741,0.507622845,0.522130091,0.489972085,0.877709194
pSA_0.756463328000,-0.235924262,0.069139989,0.508123227,0.522879598,0.489570741,0.878220814
pSA_0.811130831000,-0.227630538,0.068636989,0.502173645,0.527854738,0.485566117,0.875547514
pSA_0.869749003000,-0.198896804,0.067768746,0.494386835,0.52684355,0.478504238,0.866573006
pSA_0.932603347000,-0.158362372,0.067599884,0.494681303,0.521001426,0.472397334,0.859832145
pSA_1.000000000000,-0.091818475,0.067182383,0.492732718,0.51343024,0.469961576,0.852795419
pSA_1.072267222000,-0.006815722,0.065323445,0.476869848,0.503388149,0.473942561,0.839896441
pSA_1.149756995000,0.084874666,0.06491185,0.473429753,0.498920954,0.482480744,0.840146128
pSA_1.232846739000,0.168869841,0.064580548,0.469757015,0.497189799,0.495400903,0.844565808
pSA_1.321941148000,0.241039296,0.064827458,0.469748092,0.50263007,0.509984546,0.85637871
pSA_1.417474163000,0.29254184,0.065466032,0.472248314,0.514154497,0.520224319,0.870635778
pSA_1.519911083000,0.311484656,0.067004325,0.485734981,0.519037065,0.525831436,0.884215271
pSA_1.629750835000,0.322737074,0.06760142,0.48828626,0.530999849,0.527654194,0.893757943
pSA_1.747528400000,0.326161557,0.068208868,0.491518006,0.540312861,0.531220867,0.903174151
pSA_1.873817423000,0.307300716,0.069943451,0.507239857,0.544187987,0.536646261,0.917290601
pSA_2.000000000000,0.295272224,0.069202187,0.500471903,0.541235908,0.540274524,0.913950215
pSA_2.009233003000,0.294118386,0.069134334,0.499840405,0.541127081,0.540139287,0.913460124
pSA_2.154434690000,0.272277372,0.067311989,0.482693196,0.538488333,0.53741717,0.900988136
pSA_2.310129700000,0.242052465,0.065005244,0.462865467,0.527422124,0.536560863,0.883355023
pSA_2.477076356000,0.213555616,0.063997723,0.457567145,0.51097549,0.534563841,0.86961034
pSA_2.656087783000,0.183037382,0.062979263,0.452016616,0.495957671,0.528434292,0.854128698
pSA_2.848035868000,0.162186372,0.061318194,0.440368184,0.480884868,0.518389337,0.833007742
pSA_3.000000000000,0.153966777,0.059514544,0.425836684,0.470073946,0.512734027,0.815599521
pSA_3.053855509000,0.150947462,0.059071348,0.422558887,0.466453138,0.510920553,0.810662911
pSA_3.274549163000,0.127951702,0.057433396,0.411047682,0.449145019,0.510957085,0.794838719
pSA_3.511191734000,0.106364694,0.056272404,0.40479722,0.430470353,0.508150034,0.779347144
pSA_3.764935807000,0.086533569,0.055734073,0.403874675,0.414986055,0.50373038,0.76751057
pSA_4.000000000000,0.06123593,0.056416626,0.414019659,0.403564647,0.494907651,0.761058661
pSA_4.037017259000,0.058166457,0.056424169,0.41432852,0.402919297,0.493784017,0.760154417
pSA_4.328761281000,0.028098329,0.057256719,0.423568321,0.400848398,0.483706114,0.757668243
pSA_4.641588834000,0.001019482,0.057782049,0.4300857,0.39768356,0.473159159,0.752997684
pSA_4.977023564000,-0.022448534,0.058847401,0.442687786,0.390054252,0.463368514,0.750216752
pSA_5.000000000000,-0.02350395,0.058882205,0.443156399,0.389639502,0.462704823,0.749868181
pSA_5.336699231000,-0.033906606,0.059531954,0.45194251,0.380275732,0.454290559,0.74514534
pSA_5.722367659000,-0.044927623,0.059939042,0.458321413,0.371863283,0.442629559,0.737740975
pSA_6.135907273000,-0.054665034,0.060523315,0.464346245,0.371802877,0.434348698,0.736555229
pSA_6.579332247000,-0.059115553,0.061655996,0.475695751,0.370418952,0.42706141,0.738835635
pSA_7.054802311000,-0.07003341,0.062763988,0.488111494,0.362326273,0.419032755,0.738323512
pSA_7.500000000000,-0.073403564,0.062365238,0.486007554,0.355484614,0.414286938,0.730894192
pSA_7.564633276000,-0.074691168,0.062253793,0.485337943,0.353713077,0.413847529,0.729339179
pSA_8.111308308000,-0.081827872,0.060991801,0.476868474,0.337675752,0.410529543,0.71411691
pSA_8.697490026000,-0.087559085,0.059143902,0.462725214,0.322158484,0.409472464,0.69682739
pSA_9.326033469000,-0.092744722,0.058430448,0.458427622,0.3097719,0.408950101,0.688007776
pSA_10.000000000000,-0.097165582,0.058544365,0.461110579,0.301734617,0.40535228,0.684088602
EAS_0.015000000000,-0.255100242,0.109533088,0.836605182,0.566914068,1.165893572,1.542921778
EAS_0.020000000000,-0.20626515,0.105280293,0.80616824,0.528470186,1.134791454,1.488939089
EAS_0.025000000000,-0.172874517,0.103146365,0.791708931,0.508926434,1.107306718,1.453250603
EAS_0.030000000000,-0.135572137,0.103482566,0.794127099,0.523501844,1.078744815,1.438187194
EAS_0.035000000000,-0.159585531,0.103053428,0.790137459,0.545123634,1.018750638,1.399760638
EAS_0.040000000000,-0.193543883,0.102929798,0.790249389,0.553346386,0.975913195,1.372258315
