Site,Latitude (°),Longitude (°),Basin,Geomorphology,Basin Type (NZVM 2.09),Vs30,Z1 (NZVM 2.09),Z1 (GTL),"Z1, sim (NZVM 2.09)","Z1, sim (GTL)",NEs,Ratio
NCDS,-39.500141,176.875961,Napier,Basin,Type 1,176,303.27,121.11,300.27,118.11,6,2.542291085
NELS,-41.28780402,173.2742451,Nelson,Hill,Non-Basin,550,197.2,59.38,150.2,29.88,19,5.026773762
NEWS,-41.23204,174.82178,-,Hill,Non-Basin,1000,48.38,48.38,24.41,24.41,19,1
NLMS,-41.26652354,173.2768352,Nelson,Basin Edge,Type 3,350,168.2,48.94,150.2,30.94,17,4.854557207
NNBS,-43.49542639,172.7179977,Canterbury,Basin,Type 4,204,677.1,94.96,674.1,91.96,9,7.330361027
NNZ,-41.21710266,173.3794768,-,Hill,Non-Basin,1000,49.18,49.18,24.62,24.62,25,1
NSBS,-43.99619795,168.6609453,-,Basin,Unmodeled,215,34.31,34.31,32.26,32.26,5,1
NWFS,-41.58906573,175.2339587,-,Hill,Non-Basin,600,78.35,78.35,68.35,68.35,5,1
OAMS,-45.09974458,170.9691362,Waitaki,Basin Edge,Type 1,215,74.17,74.17,63.17,63.17,5,1
ODZ,-45.04398211,170.6446222,-,Hill,Non-Basin,697,48.12,48.12,24.14,24.14,13,1
OHSS,-43.4446,172.6605,Canterbury,Basin,Type 4,195,750.57,102.93,743.57,95.93,10,7.75117273
OPCS,-38.01413481,177.2892175,Whakatane,Basin,Type 1,215,231.18,71.49,226.18,66.49,4,3.401714544
OPSS,-39.45002,173.85502,-,Hill,Non-Basin,287,71.2,71.2,43.2,43.2,9,1
OPWS,-43.55619,172.66429,Canterbury,Basin,Type 4,179,131.96,92.14,127.96,88.14,14,1.451781257
ORCS,-39.41743839,175.4125995,-,Hill,Non-Basin,317,64.38,64.38,32.62,32.62,3,1
ORPS,-46.286797,167.76512,-,Hill,Non-Basin,1000,55.65,55.65,27.85,27.85,3,1
OTKS,-40.75487647,175.1438409,PalmerstonNorth,Basin,Type 1,219,226.71,61.53,215.71,50.53,10,4.268949139
OXZ,-43.3259,172.0383,Canterbury,Hill,Non-Basin,1000,62.05,53.59,31.05,27.12,35,1.144911504
PAPS,-40.91431972,175.0049585,PalmerstonNorth,Basin,Type 1,260,151.81,55.06,139.81,43.06,17,3.24686484
